CH1,CH2,t
-3.999999724328517914e-03,3.999999898951500654e-05,1.359999999999999989e-04
0.000000000000000000e+00,-7.999999797903001308e-05,1.369999999999999961e-04
0.000000000000000000e+00,-3.999999898951500654e-05,1.379999999999999933e-04
6.000000052154064178e-03,3.999999898951500654e-05,1.389999999999999905e-04
0.000000000000000000e+00,-7.999999797903001308e-05,1.399999999999999877e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.409999999999999849e-04
0.000000000000000000e+00,3.999999898951500654e-05,1.419999999999999821e-04
0.000000000000000000e+00,-7.999999797903001308e-05,1.430000000000000064e-04
0.000000000000000000e+00,3.999999898951500654e-05,1.440000000000000036e-04
-3.999999724328517914e-03,0.000000000000000000e+00,1.450000000000000009e-04
-2.000000094994902611e-03,-1.599999959580600262e-04,1.459999999999999981e-04
6.000000052154064178e-03,3.999999898951500654e-05,1.469999999999999953e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.479999999999999925e-04
2.000000094994902611e-03,-7.999999797903001308e-05,1.489999999999999897e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.499999999999999869e-04
0.000000000000000000e+00,-7.999999797903001308e-05,1.509999999999999841e-04
0.000000000000000000e+00,-3.999999898951500654e-05,1.519999999999999813e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.530000000000000056e-04
0.000000000000000000e+00,-7.999999797903001308e-05,1.540000000000000028e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.550000000000000000e-04
2.000000094994902611e-03,-7.999999797903001308e-05,1.559999999999999972e-04
0.000000000000000000e+00,3.999999898951500654e-05,1.569999999999999944e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.579999999999999916e-04
2.000000094994902611e-03,-7.999999797903001308e-05,1.589999999999999888e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.599999999999999860e-04
0.000000000000000000e+00,-3.999999898951500654e-05,1.609999999999999832e-04
0.000000000000000000e+00,-7.999999797903001308e-05,1.619999999999999804e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.630000000000000047e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.640000000000000019e-04
-2.000000094994902611e-03,0.000000000000000000e+00,1.649999999999999991e-04
1.000000070780515671e-02,0.000000000000000000e+00,1.659999999999999963e-04
0.000000000000000000e+00,-3.999999898951500654e-05,1.669999999999999935e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.679999999999999907e-04
0.000000000000000000e+00,3.999999898951500654e-05,1.689999999999999879e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.699999999999999851e-04
0.000000000000000000e+00,1.199999969685450196e-04,1.709999999999999823e-04
2.000000094994902611e-03,0.000000000000000000e+00,1.719999999999999795e-04
-2.000000094994902611e-03,-7.999999797903001308e-05,1.730000000000000038e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.740000000000000010e-04
6.000000052154064178e-03,-7.999999797903001308e-05,1.749999999999999982e-04
0.000000000000000000e+00,-3.999999898951500654e-05,1.759999999999999954e-04
6.000000052154064178e-03,3.999999898951500654e-05,1.769999999999999926e-04
0.000000000000000000e+00,7.999999797903001308e-05,1.779999999999999898e-04
0.000000000000000000e+00,-7.999999797903001308e-05,1.789999999999999870e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.799999999999999842e-04
2.000000094994902611e-03,-1.599999959580600262e-04,1.809999999999999814e-04
2.000000094994902611e-03,-3.999999898951500654e-05,1.819999999999999786e-04
0.000000000000000000e+00,-1.999999949475750327e-04,1.830000000000000029e-04
0.000000000000000000e+00,3.999999898951500654e-05,1.840000000000000001e-04
2.000000094994902611e-03,-1.599999959580600262e-04,1.849999999999999973e-04
0.000000000000000000e+00,-1.199999969685450196e-04,1.859999999999999945e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.869999999999999917e-04
0.000000000000000000e+00,-7.999999797903001308e-05,1.879999999999999890e-04
6.000000052154064178e-03,3.999999898951500654e-05,1.889999999999999862e-04
0.000000000000000000e+00,3.999999898951500654e-05,1.899999999999999834e-04
2.000000094994902611e-03,-1.599999959580600262e-04,1.909999999999999806e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.920000000000000049e-04
2.000000094994902611e-03,-1.599999959580600262e-04,1.930000000000000021e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.939999999999999993e-04
4.000000189989805222e-03,-1.599999959580600262e-04,1.949999999999999965e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.959999999999999937e-04
2.000000094994902611e-03,0.000000000000000000e+00,1.969999999999999909e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.979999999999999881e-04
2.000000094994902611e-03,3.999999898951500654e-05,1.989999999999999853e-04
2.000000094994902611e-03,0.000000000000000000e+00,1.999999999999999825e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.009999999999999797e-04
0.000000000000000000e+00,-7.999999797903001308e-05,2.020000000000000040e-04
6.000000052154064178e-03,3.999999898951500654e-05,2.030000000000000012e-04
2.000000094994902611e-03,-2.399999939370900393e-04,2.039999999999999984e-04
6.000000052154064178e-03,1.199999969685450196e-04,2.049999999999999956e-04
0.000000000000000000e+00,0.000000000000000000e+00,2.059999999999999928e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.069999999999999900e-04
6.000000052154064178e-03,-3.999999898951500654e-05,2.079999999999999872e-04
4.000000189989805222e-03,3.999999898951500654e-05,2.089999999999999844e-04
4.000000189989805222e-03,3.999999898951500654e-05,2.099999999999999816e-04
0.000000000000000000e+00,3.999999898951500654e-05,2.109999999999999788e-04
0.000000000000000000e+00,0.000000000000000000e+00,2.120000000000000031e-04
2.000000094994902611e-03,-7.999999797903001308e-05,2.130000000000000003e-04
6.000000052154064178e-03,3.999999898951500654e-05,2.139999999999999975e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.149999999999999947e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.159999999999999919e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.169999999999999891e-04
6.000000052154064178e-03,-7.999999797903001308e-05,2.179999999999999863e-04
0.000000000000000000e+00,0.000000000000000000e+00,2.189999999999999835e-04
4.000000189989805222e-03,3.999999898951500654e-05,2.199999999999999807e-04
4.000000189989805222e-03,0.000000000000000000e+00,2.209999999999999779e-04
0.000000000000000000e+00,3.999999898951500654e-05,2.220000000000000022e-04
0.000000000000000000e+00,0.000000000000000000e+00,2.229999999999999994e-04
-3.999999724328517914e-03,3.999999898951500654e-05,2.239999999999999966e-04
0.000000000000000000e+00,0.000000000000000000e+00,2.249999999999999938e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.259999999999999910e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.269999999999999882e-04
4.000000189989805222e-03,-1.199999969685450196e-04,2.279999999999999854e-04
2.000000094994902611e-03,-3.999999898951500654e-05,2.289999999999999826e-04
2.000000094994902611e-03,-7.999999797903001308e-05,2.299999999999999799e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.309999999999999771e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.320000000000000014e-04
2.000000094994902611e-03,-7.999999797903001308e-05,2.329999999999999986e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.339999999999999958e-04
2.000000094994902611e-03,-7.999999797903001308e-05,2.349999999999999930e-04
2.000000094994902611e-03,1.199999969685450196e-04,2.359999999999999902e-04
6.000000052154064178e-03,0.000000000000000000e+00,2.369999999999999874e-04
0.000000000000000000e+00,3.999999898951500654e-05,2.379999999999999846e-04
0.000000000000000000e+00,0.000000000000000000e+00,2.389999999999999818e-04
2.000000094994902611e-03,-7.999999797903001308e-05,2.399999999999999790e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.409999999999999762e-04
4.000000189989805222e-03,0.000000000000000000e+00,2.420000000000000005e-04
0.000000000000000000e+00,-7.999999797903001308e-05,2.429999999999999977e-04
2.000000094994902611e-03,-3.999999898951500654e-05,2.439999999999999949e-04
0.000000000000000000e+00,3.999999898951500654e-05,2.449999999999999921e-04
